model,availability,price,barcode
"A23BP1","3296","39.2000","8888021300116"
"A23BP2","1302","60.6000","8888021300574"
"A27BP1","1373","40.8000","8888021300369"
"A544BP1","84","125.0000","8888021700633"
"AB03170","146","56.4000","6009515816834"
"AB03300","43","73.8000","6009515816995"
"AB04170","226","57.8000","6009515816841"
"AB04300","109","75.2000","6009515817008"
"AB04400","43","91.2000","6009515817169"
"AB05170","291","60.6000","6009515816858"
"AB05300","89","76.6000","6009515817015"
"AB06170","908","61.8000","6009515816865"
"AB06300","582","87.4000","6009515817022"
"AB06400","441","94.0000","6009515817183"
"AB06460","180","96.6000","6009515817244"
"AB08170","689","65.8000","6009515816872"
"AB08300","2411","87.4000","6009515817039"
"AB08400","276","105.0000","6009515817190"
"AB08460","380","114.0000","6009515817251"
"AB10170","827","73.8000","6009515816889"
"AB10300","1855","94.0000","6009515817046"
"AB10400","481","114.0000","6009515817206"
"AB10460","629","121.0000","6009515817268"
"AB12170","1008","80.6000","6009515816896"
"AB12300","1757","107.5000","6009515817053"
"AB12400","1361","134.5000","6009515817213"
"AB12460","628","146.5000","6009515817275"
"AB13170","441","87.4000","6009515816902"
"AB13300","724","118.5000","6009515817060"
"AB13400","417","145.5000","6009515817220"
"AB13460","884","160.0000","6009515817282"
"AB14170","315","91.2000","6009515816919"
"AB14300","1488","121.0000","6009515817077"
"AB14400","333","148.0000","6009515817237"
"AB14460","296","164.0000","6009515817299"
"AB16170","653","114.0000","6009515816926"
"AB16300","712","154.5000","6009515817084"
"AB16460","1637","213.5000","6009515817305"
"AB18170","200","127.5000","6009515816933"
"AB18300","995","169.5000","6009515817091"
"AB18460","319","240.5000","6009515817312"
"AB19170","51","141.0000","6009515816940"
"AB19300","556","173.5000","6009515817107"
"AB19300B","149","163.0000","6009515892210"
"AB19460","123","254.0000","6009515817329"
"AB20170","161","141.0000","6009515816957"
"AB20300","242","173.5000","6009515817114"
"AB20460","115","262.0000","6009515817336"
"AB22170","270","154.5000","6009515816964"
"AB22300","167","213.5000","6009515817121"
"AB22300B","512","200.0000","6009515809454"
"AB22300SP","160","195.0000","6009515852757"
"AB22460","1043","302.0000","6009515817343"
"AB24170","135","181.5000","6009515816971"
"AB24300","39","248.5000","6009515817138"
"AB24460","184","347.5000","6009515817350"
"AB25170","87","195.0000","6009515816988"
"AB25300","-7","262.0000","6009515817145"
"AB25460","33","396.0000","6009515817367"
"ABR01040","37","351.5000","6009515823993"
"ABR01040-10","219","80.0000","6009515826741"
"ABR01060","206","351.5000","6009515824006"
"ABR01060-10","35","80.0000","6009515826758"
"ABR01080","111","351.5000","6009515824013"
"ABR01080-10","83","80.0000","6009515826765"
"ABR01100","234","351.5000","6009515824020"
"ABR01100-10","137","80.0000","6009515826772"
"ABR01120","144","351.5000","6009515824037"
"ABR01120-10","184","80.0000","6009515826789"
"ABR01180-10","-8","80.0000","6009515826796"
"ABR01240","262","351.5000","6009515824051"
"ABR01240-10","96","80.0000","6009515826802"
"ABR01400","13","351.5000","6009515824068"
"ABR01400-10","88","80.0000","6009515826819"
"ABR02040","143","637.0000","6009515824075"
"ABR02040-10","334","133.0000","6009515826826"
"ABR02060","289","637.0000","6009515824082"
"ABR02060-10","289","133.0000","6009515826833"
"ABR02080","372","637.0000","6009515824099"
"ABR02080-10","459","133.0000","6009515826840"
"ABR02100","76","637.0000","6009515824105"
"ABR02100-10","133","133.0000","6009515826857"
"ABR02120","327","637.0000","6009515824112"
"ABR02120-10","320","133.0000","6009515826864"
"ABR02150","145","637.0000","6009515836580"
"ABR02180","251","637.0000","6009515824129"
"ABR02180-10","83","133.0000","6009515826871"
"ABR02240","149","637.0000","6009515824136"
"ABR02240-10","292","133.0000","6009515826888"
"ABR02400","187","637.0000","6009515824143"
"ABR02400-10","95","133.0000","6009515826895"
"ABR03040","244","33.8000","6009515804510"
"ABR03040-10","12","150.5000","6009515807757"
"ABR03060","87","31.4000","6009515804503"
"ABR03060-10","90","150.5000","6009515807764"
"ABR03080","281","31.4000","6009515804497"
"ABR03080-10","38","150.5000","6009515807771"
"ABR03100","33","31.4000","6009515811761"
"ABR03100-10","46","150.5000","6009515850005"
"ABR03120","107","31.4000","6009515804480"
"ABR03120-10","72","150.5000","6009515807788"
"ABR03150","1043","31.4000","6009515833565"
"ABR03180","1193","31.4000","6009515833572"
"ABR03240","1186","31.4000","6009515833589"
"ABR03320","1334","31.4000","6009515833596"
"ABR04040","135","69.4000","6009515807146"
"ABR04040-10","41","158.5000","6009515808075"
"ABR04060","216","69.6000","6009515807153"
"ABR04060-10","29","158.5000","6009515808082"
"ABR04080","120","65.2000","6009515807160"
"ABR04080-10","63","158.5000","6009515808099"
"ABR04100","223","65.2000","6009515811853"
"ABR04120","248","65.2000","6009515807177"
"ABR04150","794","69.6000","6009515844745"
"ABR04180","780","69.6000","6009515844752"
"ABR04240","796","69.6000","6009515844769"
"ABR04320","820","69.6000","6009515844776"
"ABR06040","2254","51.6000","6009515804558"
"ABR06040-10","44","166.0000","6009515807795"
"ABR06060","2256","55.0000","6009515804541"
"ABR06060-10","70","166.0000","6009515807801"
"ABR06080","2948","49.4000","6009515804534"
"ABR06080-10","146","166.0000","6009515807818"
"ABR06100","2282","53.6000","6009515811778"
"ABR06100-10","47","166.0000","6009515842390"
"ABR06120","2928","49.4000","6009515804527"
"ABR06120-10","29","166.0000","6009515807825"
"ABR06180","589","49.4000","6009515836139"
"ABR06240","460","49.4000","6009515860370"
"ABR06400","179","53.6000","6009515836153"
"ABR07040","176","70.4000","6009515805241"
"ABR07040-10","93","190.0000","6009515807832"
"ABR07060","189","70.4000","6009515805234"
"ABR07060-10","66","190.0000","6009515807849"
"ABR07080","116","70.4000","6009515805227"
"ABR07080-10","14","190.0000","6009515807856"
"ABR07100","123","70.4000","6009515811785"
"ABR07120","226","70.4000","6009515805210"
"ABR07120-10","131","190.0000","6009515807863"
"ABR07600","3017","18.8000","6009515811723"
"ABR09040","5270","52.2000","6009515804596"
"ABR09040-10","374","186.5000","6009515807870"
"ABR09060","5911","52.2000","6009515804589"
"ABR09060-10","251","186.5000","6009515807887"
"ABR09080","5364","52.2000","6009515804572"
"ABR09080-10","190","186.5000","6009515807894"
"ABR09100","2007","52.2000","6009515811792"
"ABR09100-10","138","186.5000","6009515821647"
"ABR09120","2193","52.2000","6009515804565"
"ABR09120-10","180","186.5000","6009515807900"
"ABR09180","771","52.2000","6009515836177"
"ABR09240","147","52.2000","6009515851675"
"ABR09400","513","52.2000","6009515836191"
"ABR09600","175","52.2000","6009515836207"
"ABR100060","115","312.0000","6009515812898"
"ABR100080","453","312.0000","6009515812904"
"ABR100100","359","312.0000","6009515812911"
"ABR100120","384","312.0000","6009515812928"
"ABR100150","373","312.0000","6009515812935"
"ABR100180","187","312.0000","6009515812942"
"ABR100220","378","312.0000","6009515812959"
"ABR102040","3412","31.0000","6009515813031"
"ABR102040-50","14","1744.5000","6009515895662"
"ABR102060","5236","31.0000","6009515813048"
"ABR102060-50","4","1462.5000","6009515895679"
"ABR102080","4834","31.0000","6009515813055"
"ABR102080-50","3","1428.5000","6009515895686"
"ABR102100","5649","31.0000","6009515813062"
"ABR102100-50","5","1319.0000","6009515895693"
"ABR103060","217","360.0000","6009515813079"
"ABR103060-10","1111","68.0000","6009515865870"
"ABR103080","384","360.0000","6009515813086"
"ABR103080-10","656","68.0000","6009515865887"
"ABR103100","396","360.0000","6009515813093"
"ABR103100-10","886","72.0000","6009515865894"
"ABR103120","439","360.0000","6009515813109"
"ABR103120-10","732","68.0000","6009515865900"
"ABR1031200","120","360.0000","6009515813192"
"ABR1031200-10","2008","68.0000","6009515865917"
"ABR103150","326","360.0000","6009515813116"
"ABR103180","251","360.0000","6009515813123"
"ABR103180-10","1960","68.0000","6009515865924"
"ABR103220","229","360.0000","6009515813130"
"ABR103220-10","1377","68.0000","6009515865931"
"ABR103320","497","360.0000","6009515813147"
"ABR103320-10","773","68.0000","6009515865948"
"ABR103360","212","360.0000","6009515813154"
"ABR103400","154","360.0000","6009515813161"
"ABR103400-10","2075","68.0000","6009515865955"
"ABR103600","403","360.0000","6009515813178"
"ABR103600-10","1131","68.0000","6009515865962"
"ABR103800","35","360.0000","6009515813185"
"ABR103800-10","736","68.0000","6009515865979"
"ABR115GC","-21","32.6000","6009515830106"
"ABR115M-1","1958","14.3000","6009515807351"
"ABR115M-2","9125","14.3000","6009515807368"
"ABR115M-3","3083","18.3000","6009515816353"
"ABR115M-4","982","16.7000","6009515818517"
"ABR115M-5","3482","16.7000","6009675089529"
"ABR115S-1","-3731","14.6000","6009515807320"
"ABR115S-10","159130","9.4000","6009515860448"
"ABR115S-11","3444","13.6000","6009515863418"
"ABR115S-12","6778","14.6000","6009515863425"
"ABR115S-2","70027","12.5000","6009515807337"
"ABR115S-2-10P","67","122.5000","6009515840839"
"ABR115S-2-25P","3479","270.0000","6009515840846"
"ABR115S-3","3228","12.5000","6009515807719"
"ABR115S-4","6940","17.2000","6009515816346"
"ABR115S-5","713","15.0000","6009515817534"
"ABR115S-6","3116","14.5000","6009515817541"
"ABR115S-7","2273","14.5000","6009515817558"
"ABR115S-8","4026","17.2000","6009515817565"
"ABR115S-9","7566","16.7000","6009515818470"
"ABR115SE","81394","10.4000","6009515850098"
"ABR115SM","-3338","22.8000","6009515826987"
"ABR115SP","490499","9.4000","6009515902926"
"ABR115SS-1","8337","14.6000","6009515816384"
"ABR115SS-2","4736","15.4000","6009515816391"
"ABR115SS-3","578","17.7000","6009515818425"
"ABR115SS-4","1856","16.7000","6009515818487"
"ABR12040","205","64.4000","6009515804633"
"ABR12040-10","13","203.5000","6009515807917"
"ABR12060","185","64.4000","6009515804626"
"ABR12060-10","26","203.5000","6009515807924"
"ABR12080","180","64.4000","6009515804619"
"ABR12080-10","76","203.5000","6009515807931"
"ABR12100","113","64.4000","6009515811808"
"ABR12120","143","64.4000","6009515804602"
"ABR12120-10","96","203.5000","6009515807948"
"ABR125M-1","363","26.2000","6009515813628"
"ABR125S-1","4616","26.2000","6009515813604"
"ABR125S-2","1491","26.2000","6009515813611"
"ABR13040","0","101.5000","6009515850159"
"ABR13060","16","88.4000","6009515850166"
"ABR13080","22","79.4000","6009515850173"
"ABR13100","48","79.4000","6009515850180"
"ABR13120","174","79.4000","6009515850197"
"ABR14040","136","89.4000","6009515807108"
"ABR14040-10","54","321.5000","6009515808037"
"ABR14060","211","88.6000","6009515807115"
"ABR14060-10","100","321.5000","6009515808044"
"ABR14080","240","89.4000","6009515807122"
"ABR14080-10","98","306.0000","6009515808051"
"ABR14100","122","70.4000","6009515811860"
"ABR14120","143","70.4000","6009515807139"
"ABR14120-10","14","306.0000","6009515808068"
"ABR15040","585","87.8000","6009515804671"
"ABR15040-10","100","287.5000","6009515807955"
"ABR15060","378","87.8000","6009515804664"
"ABR15060-10","110","287.5000","6009515807962"
"ABR15080","706","87.8000","6009515804657"
"ABR15080-10","71","287.5000","6009515807979"
"ABR15100","436","87.8000","6009515811815"
"ABR15100-10","61","287.5000","6009515821654"
"ABR15120","321","87.8000","6009515804640"
"ABR15120-10","62","287.5000","6009515807986"
"ABR17040","98","146.5000","6009515850104"
"ABR17060","-9","127.5000","6009515850111"
"ABR17080","-12","113.5000","6009515850128"
"ABR17100","17","113.5000","6009515850135"
"ABR17120","70","113.5000","6009515850142"
"ABR18040","7482","72.2000","6009515804718"
"ABR18040-10","1117","322.5000","6009515807993"
"ABR18060","2695","72.2000","6009515804701"
"ABR18060-10","574","322.5000","6009515808006"
"ABR18080","5088","72.2000","6009515804695"
